School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION
Lafayette,30,10,20,0.333,-11.17,-4.93,7,11,4,11,6,9,73.63333333333334,78.3,1220,26.733333333333334,59.53333333333333,0.449,9.333333333333334,24.533333333333335,0.38,10.833333333333334,14.566666666666666,0.744,25.7,7.766666666666667,33.46666666666667,13.966666666666667,5.266666666666667,4.2,13.4,17.166666666666668,70.4,102.8,0.245,0.412,0.554,48.3,52.2,7.4,10.8,0.527,16.8,22.6,0.182,,,
Lamar,33,20,13,0.606,-5.94,-7.22,12,6,13,2,6,10,78.6969696969697,70.36363636363636,1340,27.333333333333332,59.878787878787875,0.456,6.909090909090909,20.12121212121212,0.343,17.12121212121212,24.939393939393938,0.687,25.333333333333332,13.515151515151516,38.84848484848485,14.575757575757576,8.575757575757576,2.9393939393939394,14.333333333333334,18.848484848484848,71.3,108.7,0.416,0.336,0.549,54.9,53.3,11.8,8.4,0.514,16.7,37.2,0.286,,,
Lehigh,31,20,11,0.645,-2.34,-4.46,12,6,11,3,9,8,79.96774193548387,77.83870967741936,1250,27.612903225806452,57.25806451612903,0.482,9.258064516129032,21.903225806451612,0.423,15.483870967741936,20.0,0.774,28.161290322580644,7.483870967741935,35.645161290322584,15.193548387096774,5.516129032258065,2.2903225806451615,13.483870967741936,18.419354838709676,72.5,109.4,0.349,0.383,0.599,50.5,55.0,7.5,6.3,0.563,16.8,23.5,0.27,,,
Liberty,36,29,7,0.806,5.27,-3.88,14,2,16,1,11,3,73.72222222222223,61.361111111111114,1440,26.75,54.916666666666664,0.487,8.944444444444445,24.25,0.369,11.277777777777779,14.555555555555555,0.775,25.11111111111111,7.5,32.611111111111114,14.777777777777779,6.194444444444445,2.6666666666666665,10.972222222222221,15.083333333333334,65.4,112.8,0.265,0.442,0.596,51.5,55.2,9.5,8.1,0.569,15.1,25.1,0.205,12.0,R32,EAST
Lipscomb,37,29,8,0.784,9.21,-1.2,14,2,14,3,14,4,83.13513513513513,70.1891891891892,1480,28.945945945945947,60.270270270270274,0.48,8.837837837837839,23.675675675675677,0.373,16.405405405405407,21.64864864864865,0.758,28.35135135135135,8.891891891891891,37.24324324324324,17.675675675675677,7.243243243243243,2.918918918918919,13.216216216216216,17.10810810810811,74.9,111.0,0.359,0.393,0.589,52.9,61.1,9.7,8.0,0.554,15.8,26.2,0.272,,,
Little Rock,31,10,21,0.323,-4.87,-2.07,5,13,7,9,3,12,74.2258064516129,75.90322580645162,1250,26.35483870967742,54.41935483870968,0.484,6.645161290322581,18.774193548387096,0.354,14.870967741935484,22.677419354838708,0.656,26.322580645161292,7.870967741935484,34.193548387096776,14.290322580645162,5.451612903225806,2.806451612903226,16.225806451612904,20.06451612903226,72.7,101.2,0.417,0.345,0.569,49.8,54.2,7.4,8.6,0.545,19.9,24.1,0.273,,,
Long Beach State,34,15,19,0.441,-4.57,-0.44,8,8,9,5,4,12,74.8529411764706,76.0,1375,25.794117647058822,59.73529411764706,0.432,6.382352941176471,18.529411764705884,0.344,16.88235294117647,24.441176470588236,0.691,26.058823529411764,11.088235294117647,37.14705882352941,11.735294117647058,6.4411764705882355,3.088235294117647,14.088235294117647,18.235294117647058,73.3,101.0,0.409,0.31,0.525,48.7,45.5,8.7,7.6,0.485,16.5,29.1,0.283,,,
Long Island University,32,16,16,0.5,-8.99,-9.08,9,9,8,5,7,9,74.15625,73.03125,1285,25.6875,58.75,0.437,8.65625,25.40625,0.341,14.125,20.09375,0.703,27.34375,10.03125,37.375,13.4375,6.8125,4.90625,14.71875,19.0625,72.9,101.4,0.342,0.432,0.543,50.1,52.3,9.3,12.0,0.511,17.7,27.8,0.24,,,
Longwood,34,16,18,0.471,-8.43,-6.62,5,11,10,5,5,12,70.79411764705883,70.82352941176471,1375,23.61764705882353,55.14705882352941,0.428,9.794117647058824,27.61764705882353,0.355,13.764705882352942,18.794117647058822,0.732,26.764705882352942,8.352941176470589,35.11764705882353,11.794117647058824,6.176470588235294,2.088235294117647,14.029411764705882,18.352941176470587,68.9,101.6,0.341,0.501,0.552,50.7,49.9,8.9,7.2,0.517,18.0,24.6,0.25,,,
Louisiana,32,19,13,0.594,-2.07,-1.51,10,8,10,4,7,7,81.625,80.46875,1290,28.15625,63.3125,0.445,8.84375,25.65625,0.345,16.46875,22.1875,0.742,24.3125,11.375,35.6875,15.21875,7.0625,3.90625,13.21875,19.125,74.8,108.2,0.35,0.405,0.553,48.5,54.1,9.4,10.0,0.515,15.2,29.9,0.26,,,
