School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON
Cal State Bakersfield,31,12,19,0.387,-7.11,-3.26,6,10,9,7,3,12,68.03225806451613,67.64516129032258,1265,25.322580645161292,58.16129032258065,0.435,4.967741935483871,15.838709677419354,0.314,12.419354838709678,18.161290322580644,0.684,24.419354838709676,12.838709677419354,37.25806451612903,11.709677419354838,6.258064516129032,3.032258064516129,13.612903225806452,21.35483870967742,66.0,101.1,0.312,0.272,0.509,54.7,46.2,9.3,10.2,0.478,16.9,36.1,0.214,,
Cal State Fullerton,31,11,20,0.355,-6.79,-1.38,6,10,6,8,4,11,68.61290322580645,71.38709677419355,1265,24.193548387096776,55.96774193548387,0.432,6.258064516129032,18.903225806451612,0.331,13.96774193548387,20.774193548387096,0.672,25.483870967741936,8.064516129032258,33.54838709677419,11.548387096774194,5.096774193548387,3.0,13.096774193548388,18.516129032258064,69.5,96.8,0.371,0.338,0.521,48.0,47.7,7.2,7.7,0.488,16.6,22.8,0.25,,
Cal State Northridge,32,15,17,0.469,-6.37,-0.97,10,6,10,4,5,12,76.09375,79.0,1280,27.40625,60.15625,0.456,7.59375,20.375,0.373,13.6875,18.84375,0.726,24.3125,9.0625,33.375,14.03125,5.65625,3.15625,11.34375,17.3125,71.4,106.6,0.313,0.339,0.551,47.3,51.2,7.9,8.7,0.519,14.1,25.7,0.228,,
California,32,14,18,0.438,3.2,9.05,7,11,12,5,1,10,63.21875,69.0625,1295,22.125,52.53125,0.421,5.0,14.90625,0.335,13.96875,18.9375,0.738,24.5625,8.0625,32.625,9.1875,4.03125,2.5,12.78125,18.78125,65.7,95.1,0.36,0.284,0.514,49.6,41.5,6.1,7.4,0.469,17.2,24.8,0.266,,
California Baptist,31,21,10,0.677,-1.99,-6.66,10,6,15,5,6,5,79.51612903225806,70.0,1255,26.64516129032258,60.25806451612903,0.442,9.870967741935484,26.0,0.38,16.35483870967742,20.806451612903224,0.786,29.35483870967742,11.612903225806452,40.96774193548387,14.35483870967742,4.161290322580645,3.4838709677419355,12.774193548387096,18.419354838709676,70.5,111.5,0.345,0.431,0.567,54.8,53.9,5.8,8.5,0.524,15.4,32.4,0.271,,
Campbell,31,15,16,0.484,-8.51,-8.1,6,12,8,5,6,10,68.70967741935483,66.61290322580645,1245,25.193548387096776,54.83870967741935,0.459,7.967741935483871,22.774193548387096,0.35,10.35483870967742,14.161290322580646,0.731,23.612903225806452,7.0,30.612903225806452,14.903225806451612,7.193548387096774,2.935483870967742,12.838709677419354,17.580645161290324,67.2,101.9,0.258,0.415,0.558,47.6,59.2,10.7,8.3,0.532,17.3,22.2,0.189,,
Canisius,32,12,20,0.375,-7.6,-5.44,7,13,7,6,4,12,68.625,70.78125,1280,25.1875,58.15625,0.433,6.03125,19.96875,0.302,12.21875,17.5625,0.696,23.21875,10.25,33.46875,14.125,7.09375,2.5,14.3125,18.84375,70.3,97.6,0.302,0.343,0.516,48.9,56.1,10.1,7.1,0.485,17.7,28.9,0.21,,
Central Arkansas,31,10,21,0.323,-11.26,-2.7,9,11,8,4,2,16,74.70967741935483,82.35483870967742,1270,25.06451612903226,59.41935483870968,0.422,7.451612903225806,24.032258064516128,0.31,17.129032258064516,23.903225806451612,0.717,27.64516129032258,10.612903225806452,38.25806451612903,14.548387096774194,5.290322580645161,5.129032258064516,17.70967741935484,20.548387096774192,75.9,96.1,0.402,0.404,0.528,50.3,58.0,6.8,12.7,0.485,20.0,28.4,0.288,,
Central Connecticut State,31,4,27,0.129,-20.33,-4.63,3,15,4,9,0,16,63.193548387096776,77.29032258064517,1240,22.741935483870968,57.16129032258065,0.398,6.451612903225806,18.06451612903226,0.357,11.258064516129032,16.64516129032258,0.676,23.419354838709676,8.483870967741936,31.903225806451612,10.096774193548388,6.419354838709677,3.3870967741935485,14.193548387096774,18.741935483870968,70.7,89.3,0.291,0.316,0.486,44.8,44.4,9.1,9.4,0.454,17.9,23.3,0.197,,
Central Florida,30,16,14,0.533,5.13,4.13,7,11,10,6,4,7,68.9,67.9,1210,24.633333333333333,57.1,0.431,7.1,21.966666666666665,0.323,12.533333333333333,17.633333333333333,0.711,24.6,10.033333333333333,34.63333333333333,13.466666666666667,6.5,2.9,13.8,16.6,68.7,99.5,0.309,0.385,0.526,49.3,54.7,9.4,8.0,0.494,17.4,28.8,0.219,,
Central Michigan,32,14,18,0.438,-3.4,-0.26,7,11,12,4,2,14,78.3125,76.6875,1285,27.375,63.65625,0.43,7.71875,23.84375,0.324,15.84375,21.25,0.746,25.125,10.90625,36.03125,11.59375,9.125,2.5,12.6875,16.3125,75.0,104.0,0.334,0.375,0.531,48.8,42.4,12.1,6.8,0.491,14.7,27.9,0.249,,
