School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON
SIU Edwardsville,31,8,23,0.258,-14.16,-5.71,5,13,4,10,4,13,2073,2261,1240,759,1738,0.437,236,716,0.33,507,694,0.731,316,1106,468,192,99,416,520,70.2,104.0,0.399,0.412,0.547,51.0,61.7,8.8,8.0,0.505,16.7,29.4,0.292,NA,NA
Southern Illinois,32,16,16,0.5,-0.18,0.37,10,8,12,3,3,10,2002,1991,1285,751,1751,0.429,192,610,0.315,297,429,0.692,322,1128,401,205,107,435,518,64.3,96.3,0.245,0.348,0.509,54.2,53.4,9.9,11.2,0.484,18.2,30.1,0.17,NA,NA
Southern Mississippi,31,9,22,0.29,-6.65,2.35,5,13,8,7,1,12,2047,2242,1250,763,1780,0.429,282,842,0.335,434,585,0.742,294,1051,409,230,77,386,462,68.7,104.4,0.329,0.473,0.545,48.7,53.6,10.7,6.2,0.508,15.8,26.6,0.244,NA,NA
Southern Utah,32,17,15,0.531,0.1,-2.47,9,11,9,5,6,10,2329,2122,1300,728,1832,0.397,193,634,0.304,473,663,0.713,259,1022,362,182,126,402,594,70.5,92.6,0.362,0.346,0.494,46.3,49.7,7.9,10.0,0.45,15.8,22.5,0.258,NA,NA
St. Francis (NY),31,13,18,0.419,-11.3,-7.44,7,11,9,5,4,13,2168,2220,1245,779,1790,0.435,208,592,0.351,454,644,0.705,314,1160,365,175,95,430,518,71.1,100.3,0.36,0.331,0.53,50.8,46.9,7.9,7.7,0.493,17.0,28.3,0.254,NA,NA
Stetson,33,16,17,0.485,-9.63,-5.3,9,7,8,7,7,9,2103,2167,1325,750,1808,0.415,292,865,0.338,375,545,0.688,318,1034,457,188,102,385,561,64.3,101.8,0.301,0.478,0.524,48.1,60.9,8.8,9.0,0.496,15.7,28.4,0.207,NA,NA
Tennessee-Martin,29,9,20,0.31,-14.15,-4.3,5,13,6,6,2,12,2194,2382,1165,882,1785,0.494,286,742,0.385,332,483,0.687,335,1024,535,188,88,360,502,70.1,116.7,0.271,0.416,0.591,51.8,60.7,9.2,8.2,0.574,15.2,34.3,0.186,NA,NA
Tennessee State,33,18,15,0.545,-6.7,-5.45,9,9,11,3,4,11,2355,2345,1330,793,1928,0.411,227,730,0.311,532,737,0.722,341,1078,356,228,89,410,554,70.5,100.0,0.382,0.379,0.515,46.4,44.9,9.7,7.7,0.47,15.3,27.4,0.276,NA,NA
Tennessee Tech,31,9,22,0.29,-13.64,-4.67,6,12,6,8,3,12,2033,2241,1250,827,1784,0.464,239,663,0.36,348,491,0.709,292,1100,492,216,99,424,415,68.8,104.2,0.275,0.372,0.555,50.6,59.5,10.0,9.4,0.531,17.4,28.2,0.195,NA,NA
Texas A&M-Corpus Christi,32,14,18,0.438,-10.8,-6.63,10,10,10,6,4,11,2112,2199,1280,750,1745,0.43,195,621,0.314,504,690,0.73,307,1005,392,271,103,419,570,68.3,100.6,0.395,0.356,0.53,47.9,52.3,12.4,10.1,0.486,16.8,28.0,0.289,NA,NA
UT Arlington,32,14,18,0.438,2.76,2.13,10,10,8,8,6,9,2259,2189,1295,773,1875,0.412,196,662,0.296,447,651,0.687,345,1228,416,156,98,391,542,68.8,98.3,0.347,0.353,0.501,50.9,53.8,7.0,8.8,0.465,15.2,28.6,0.238,NA,NA
UTEP,32,17,15,0.531,-1.0,-0.45,8,10,13,4,3,9,2157,2116,1285,743,1788,0.416,200,656,0.305,430,602,0.714,292,1128,351,185,83,439,569,69.2,95.3,0.337,0.367,0.51,50.3,47.2,8.3,7.8,0.471,17.5,25.6,0.24,NA,NA
Texas-Rio Grande Valley,30,14,16,0.467,-7.05,-3.7,9,7,11,3,3,11,2189,2143,1215,728,1582,0.46,210,558,0.376,477,667,0.715,271,1055,432,163,66,521,564,70.6,99.9,0.422,0.353,0.564,51.5,59.3,7.6,5.4,0.527,21.5,28.6,0.302,NA,NA
UTSA,32,13,19,0.406,-3.18,0.41,7,11,10,5,3,9,2461,2465,1300,854,1945,0.439,261,762,0.343,496,707,0.702,316,1246,411,183,114,446,580,74.0,102.5,0.363,0.392,0.54,50.0,48.1,7.6,9.5,0.506,16.4,26.1,0.255,NA,NA
Texas State,32,21,11,0.656,5.42,-0.28,13,7,15,3,6,8,2339,2058,1295,694,1714,0.405,203,638,0.318,467,652,0.716,328,1093,350,164,103,469,587,67.1,94.7,0.38,0.372,0.508,49.8,50.4,7.5,7.8,0.464,18.8,29.5,0.272,NA,NA
Toledo,32,17,15,0.531,1.2,-1.47,8,10,10,6,7,9,2386,2244,1285,817,1956,0.418,250,727,0.344,360,511,0.705,337,1151,365,209,101,377,596,69.5,100.4,0.261,0.372,0.51,48.7,44.7,9.4,9.4,0.482,14.6,27.5,0.184,NA,NA
