,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
96,Gardner-Webb,31,15,16,.484,-3.85,-4.64,,10,8,,8,5,,6,10,,2192,2032,,67.5,95.6,.399,.377,.521,47.3,48.4,9.3,7.5,.477,18.3,24.3,.286
97,George Mason,33,20,13,.606,1.92,0.47,,11,7,,14,2,,4,7,,2268,2220,,67.6,98.8,.330,.351,.513,47.6,45.4,10.2,8.8,.479,14.9,24.8,.228
98,George Washington,32,16,16,.500,-1.76,-0.44,,10,8,,11,6,,5,6,,2441,2455,,69.7,108.1,.284,.392,.541,50.2,51.0,9.9,6.8,.515,13.5,29.7,.199
99,Georgetown,32,7,25,.219,-1.18,7.42,,2,18,,5,12,,1,11,,2225,2500,,69.6,111.3,.244,.395,.560,51.0,60.1,11.5,7.2,.536,13.7,30.0,.178
100,Georgia,32,16,16,.500,2.11,5.11,,6,12,,13,4,,1,10,,2193,2289,,68.2,104.5,.289,.367,.526,49.8,55.8,9.8,10.7,.498,14.5,30.5,.200
101,Georgia Southern,33,17,16,.515,-3.15,-1.91,,9,9,,12,4,,3,11,,2257,2201,,67.6,98.3,.326,.375,.518,49.8,48.7,9.1,6.9,.484,16.8,26.9,.229
102,Georgia State,31,10,21,.323,-6.71,-0.85,,3,15,,10,9,,0,11,,2068,2150,,67.8,101.9,.339,.344,.534,48.8,52.2,10.0,9.2,.497,15.6,28.4,.245
103,Georgia Tech,33,15,18,.455,2.02,4.82,,6,14,,11,6,,3,9,,2301,2335,,67.6,104.3,.302,.352,.526,51.2,56.2,8.1,9.5,.494,14.0,30.3,.215
104,Gonzaga NCAA,33,28,5,.848,20.07,7.45,,14,2,,15,1,,7,2,,2888,2406,,71.8,101.1,.263,.394,.541,46.3,45.2,7.3,5.4,.512,17.1,25.5,.193
105,Grambling,33,24,9,.727,-3.77,-8.22,,15,3,,11,1,,9,6,,2276,2054,,67.8,91.5,.398,.377,.480,48.6,51.7,10.3,8.0,.438,18.4,31.5,.264
106,Grand Canyon NCAA,35,24,11,.686,4.62,0.99,,10,7,,14,4,,5,5,,2636,2339,,66.9,99.2,.320,.330,.494,47.6,43.3,8.3,7.8,.457,13.7,29.2,.224
107,Green Bay,32,3,29,.094,-20.05,-2.90,,2,18,,2,10,,1,17,,1898,2447,,66.2,115.0,.316,.346,.581,56.4,49.6,11.0,11.2,.548,14.0,32.4,.240
108,Hampton,32,8,24,.250,-15.13,-4.58,,5,13,,7,6,,1,13,,2183,2481,,69.9,110.5,.355,.371,.562,53.1,55.0,8.0,9.2,.534,13.9,30.0,.245
109,Hartford,28,5,23,.179,-23.29,-8.13,,,,,5,10,,0,11,,1757,1991,,66.3,107.3,.259,.382,.555,52.3,58.7,11.0,9.1,.532,16.0,31.1,.184
110,Harvard,28,14,14,.500,-0.92,-2.23,,5,9,,5,7,,8,6,,1914,1858,,67.8,97.0,.249,.388,.515,47.1,47.4,10.2,8.7,.484,16.5,24.9,.184
111,Hawaii,33,22,11,.667,2.64,-1.89,,13,7,,13,5,,6,4,,2208,2039,,64.9,94.1,.269,.263,.482,47.7,33.4,9.1,9.1,.444,14.4,26.3,.199
112,High Point,31,14,17,.452,-9.86,-5.20,,6,12,,10,5,,2,11,,2312,2392,,72.7,106.2,.337,.386,.531,49.9,52.7,9.7,9.4,.503,14.5,32.0,.226
113,Hofstra,34,25,9,.735,5.25,-2.67,,16,2,,11,1,,11,5,,2554,2245,,67.6,96.7,.245,.367,.489,51.7,50.6,8.3,8.4,.461,15.7,31.0,.170
114,Holy Cross,32,10,22,.313,-14.34,-6.48,,7,11,,6,9,,4,11,,2136,2324,,69.1,104.6,.274,.349,.534,54.3,49.8,10.1,8.4,.512,15.3,30.5,.183
115,Houston NCAA,34,31,3,.912,23.37,4.84,,17,1,,16,2,,11,0,,2551,1921,,64.8,87.2,.358,.437,.469,44.8,53.6,8.4,6.6,.425,19.1,27.4,.247
116,Houston Christian,32,10,22,.313,-16.93,-6.69,,7,11,,8,8,,2,13,,2482,2658,,73.4,112.7,.319,.334,.584,50.5,51.6,10.7,8.5,.559,15.1,30.0,.226
117,Howard NCAA,34,22,12,.647,-4.81,-5.81,,11,3,,12,2,,6,8,,2566,2446,,71.7,100.0,.355,.369,.536,48.0,47.0,12.1,8.2,.505,18.8,30.9,.243
118,Idaho,32,10,22,.313,-8.36,-3.53,,4,14,,6,10,,4,11,,2335,2332,,67.1,107.4,.313,.325,.562,52.1,43.0,8.6,8.6,.531,15.1,26.8,.229
119,Idaho State,32,11,21,.344,-6.21,-2.61,,8,10,,7,7,,4,12,,2213,2272,,65.7,105.5,.351,.340,.552,51.8,47.5,8.3,6.6,.506,15.8,27.4,.276
120,Illinois NCAA,32,20,12,.625,15.37,7.68,,11,9,,15,2,,3,7,,2389,2143,,69.3,95.5,.296,.309,.502,46.9,44.7,9.6,8.1,.469,16.4,26.8,.208
121,Illinois State,32,11,21,.344,-7.03,-3.03,,6,14,,8,7,,3,9,,2127,2255,,65.7,105.6,.340,.377,.549,48.7,49.1,10.0,9.8,.518,14.8,26.7,.237
122,Illinois-Chicago,32,12,20,.375,-8.54,-2.83,,4,16,,7,8,,3,11,,2149,2292,,69.2,102.6,.325,.344,.539,54.1,55.0,8.7,11.7,.505,17.2,29.9,.234
