School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION
Central Michigan,23,7,16,0.304,-12.34,-4.19,3.0,13.0,5.0,7.0,2.0,9.0,1766.0,1835.0,920.0,631.0,1417.0,0.445,152.0,462.0,0.329,352.0,523.0,0.673,241.0,833.0,246.0,188.0,67.0,307.0,396.0,74.9,102.5,0.369,0.326,0.53,48.3,39.0,10.9,7.6,0.499,15.6,27.7,0.248,NA,NA,NA
Charleston Southern,21,3,18,0.143,-16.72,-6.22,2.0,15.0,1.0,9.0,2.0,8.0,1375.0,1550.0,845.0,480.0,1182.0,0.406,160.0,506.0,0.316,255.0,357.0,0.714,214.0,778.0,218.0,129.0,81.0,346.0,385.0,70.2,92.7,0.302,0.428,0.509,49.5,45.4,8.7,10.3,0.474,20.4,28.2,0.216,NA,NA,NA
Charlotte,25,9,16,0.36,-5.68,-2.43,5.0,11.0,6.0,7.0,3.0,8.0,1587.0,1668.0,1025.0,545.0,1261.0,0.432,143.0,441.0,0.324,354.0,484.0,0.731,172.0,778.0,282.0,136.0,73.0,335.0,364.0,64.6,95.9,0.384,0.35,0.532,49.4,51.7,8.2,8.6,0.489,18.3,22.2,0.281,NA,NA,NA
Chattanooga,26,18,8,0.692,-1.54,-2.92,9.0,7.0,9.0,3.0,9.0,4.0,1888.0,1801.0,1050.0,667.0,1522.0,0.438,218.0,607.0,0.359,336.0,429.0,0.783,217.0,881.0,319.0,178.0,48.0,289.0,370.0,68.6,104.8,0.282,0.399,0.547,49.3,47.8,9.9,4.9,0.51,14.3,23.9,0.221,NA,NA,NA
Chicago State,9,0,9,0.0,-31.82,1.41,NA,NA,NA,NA,0.0,7.0,499.0,798.0,360.0,180.0,497.0,0.362,51.0,203.0,0.251,88.0,126.0,0.698,54.0,234.0,89.0,49.0,13.0,140.0,178.0,71.2,77.8,0.254,0.408,0.448,38.0,49.4,7.6,3.7,0.413,20.1,16.6,0.177,NA,NA,NA
Cincinnati,23,12,11,0.522,3.99,7.21,8.0,6.0,5.0,5.0,5.0,5.0,1585.0,1659.0,920.0,566.0,1339.0,0.423,163.0,524.0,0.311,290.0,442.0,0.656,245.0,832.0,344.0,155.0,87.0,336.0,435.0,71.3,96.6,0.33,0.391,0.512,51.1,60.8,9.5,10.3,0.484,17.8,29.1,0.217,NA,NA,NA
Clemson,24,16,8,0.667,12.49,9.49,10.0,6.0,11.0,1.0,2.0,5.0,1558.0,1486.0,965.0,562.0,1323.0,0.425,198.0,574.0,0.345,236.0,307.0,0.769,206.0,783.0,319.0,146.0,69.0,303.0,374.0,64.9,99.6,0.232,0.434,0.53,49.9,56.8,9.3,9.2,0.5,17.1,26.4,0.178,7.0,R64,MIDWEST
Cleveland State,27,19,8,0.704,-5.12,-4.82,16.0,4.0,9.0,2.0,8.0,5.0,1914.0,1922.0,1105.0,701.0,1558.0,0.45,172.0,535.0,0.321,340.0,507.0,0.671,284.0,934.0,371.0,188.0,69.0,348.0,524.0,67.6,102.6,0.325,0.343,0.532,49.4,52.9,10.1,7.8,0.505,16.2,30.5,0.218,15.0,R64,MIDWEST
Coastal Carolina,26,18,8,0.692,-2.74,-7.6,9.0,5.0,12.0,1.0,3.0,5.0,2067.0,1773.0,1050.0,732.0,1604.0,0.456,221.0,618.0,0.358,382.0,533.0,0.717,352.0,1130.0,404.0,213.0,103.0,394.0,435.0,72.3,108.9,0.332,0.385,0.556,56.4,55.2,11.2,11.9,0.525,17.5,36.9,0.238,NA,NA,NA
Colgate,16,14,2,0.875,13.66,-1.9,11.0,1.0,8.0,1.0,6.0,0.0,1363.0,1114.0,645.0,495.0,1005.0,0.493,148.0,367.0,0.403,225.0,311.0,0.723,152.0,638.0,282.0,113.0,55.0,173.0,259.0,72.7,116.3,0.309,0.365,0.591,53.2,57.0,9.6,8.5,0.566,13.0,27.6,0.224,14.0,R64,SOUTH
