,Rk,School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
286,287,Southern Methodist,30,25,5,.833,18.42,4.56,13,5,16,1,7,4,2319,1903,1200,676,1690,.400,224,676,.331,327,513,.637,313,878,378,220,118,363,536,66.1,96.0,.304,.400,.492,42.6,55.9,11.1,9.3,.466,15.8,28.5,.193
287,288,Southern Mississippi,29,8,21,.276,-10.58,-3.66,5,13,6,9,2,12,1866,2045,1180,687,1575,.436,249,699,.356,422,605,.698,281,1026,395,189,87,342,525,65.0,106.6,.384,.444,.549,52.7,57.5,9.9,11.2,.515,15.5,28.9,.268
288,289,Southern Utah,30,6,24,.200,-17.36,-4.22,3,15,3,10,3,13,2040,2429,1210,839,1700,.494,231,559,.413,520,728,.714,299,1091,402,180,114,371,590,68.9,116.6,.428,.329,.594,54.1,47.9,8.6,10.6,.561,15.4,30.3,.306
289,290,Southern NCAA,35,22,13,.629,-7.68,-9.37,11,7,12,1,6,10,2534,2406,1400,832,2001,.416,234,734,.319,508,764,.665,413,1311,411,183,105,482,671,69.5,98.9,.382,.367,.509,51.0,49.4,7.5,7.3,.474,16.9,31.6,.254
290,291,St. Bonaventure,31,22,9,.710,6.55,1.87,14,4,14,3,8,5,2409,2264,1250,788,1808,.436,218,681,.320,470,676,.695,380,1134,440,166,94,409,611,69.1,104.8,.374,.377,.532,50.7,55.8,7.7,8.3,.496,16.1,33.4,.260
291,292,St. Francis (NY),32,15,17,.469,-11.24,-9.24,11,7,9,5,6,11,2095,2131,1290,765,1809,.423,152,463,.328,449,630,.713,349,1155,368,204,92,404,592,66.9,98.8,.348,.256,.505,49.4,48.1,9.5,9.1,.465,16.1,30.5,.248
292,293,St. John's (NY),32,8,24,.250,-1.90,7.94,1,17,6,10,0,10,2174,2472,1280,835,1854,.450,238,643,.370,564,795,.709,355,1265,459,273,109,464,664,73.3,105.4,.429,.347,.554,52.6,55.0,11.6,8.9,.515,17.2,30.8,.304
293,294,Stanford,30,15,15,.500,8.06,10.41,8,10,12,5,2,8,2088,2111,1210,728,1647,.442,228,627,.364,427,646,.661,318,1053,420,161,93,402,645,67.3,103.7,.392,.381,.540,50.6,57.7,7.9,8.3,.511,17.1,31.2,.259
294,295,Stephen F. Austin NCAA,34,28,6,.824,9.23,-5.47,18,0,14,0,9,4,2728,2153,1360,764,1745,.438,174,544,.320,451,680,.663,335,1099,398,181,96,631,687,69.6,91.0,.390,.312,.521,48.1,52.1,7.6,7.4,.488,23.4,30.0,.258
295,296,Stetson,34,12,22,.353,-10.78,-4.35,4,10,6,8,5,13,2729,2807,1390,1052,2221,.474,251,725,.346,452,670,.675,407,1362,524,209,155,415,634,73.4,110.0,.302,.326,.553,52.9,49.8,8.2,11.5,.530,14.0,31.6,.204
296,297,Stony Brook NCAA,33,26,7,.788,3.75,-5.28,14,2,15,1,11,5,2515,2115,1325,770,1887,.408,212,649,.327,363,506,.717,301,1058,365,186,96,418,606,67.8,94.2,.268,.344,.497,44.6,47.4,8.3,6.9,.464,16.4,25.4,.192
297,298,Syracuse NCAA,37,23,14,.622,14.62,9.75,9,9,13,4,3,7,2589,2409,1495,877,2127,.412,259,845,.307,396,595,.666,471,1357,570,232,111,491,647,64.9,99.3,.280,.397,.500,50.7,65.0,9.6,9.2,.473,16.9,35.0,.186
298,299,Temple NCAA,33,21,12,.636,7.69,6.57,14,4,11,3,8,4,2267,2230,1345,809,1952,.414,196,628,.312,416,561,.742,358,1262,408,144,120,355,520,65.8,100.8,.287,.322,.503,50.7,50.4,6.5,9.5,.465,13.8,29.5,.213
299,300,Tennessee-Martin,35,20,15,.571,-5.57,-4.72,10,6,11,2,8,10,2554,2494,1420,883,2050,.431,308,907,.340,420,593,.708,358,1213,495,189,96,419,647,67.4,104.2,.289,.442,.535,48.7,56.1,7.9,7.9,.506,15.2,28.3,.205
300,301,Tennessee State,31,20,11,.645,-1.81,-5.30,11,5,11,3,7,7,2273,2134,1260,698,1691,.413,253,705,.359,485,709,.684,319,1068,397,177,81,481,624,69.4,97.6,.419,.417,.526,48.2,56.9,8.1,6.5,.488,19.2,28.6,.287
301,302,Tennessee Tech,31,19,12,.613,-3.21,-3.66,11,5,14,1,5,9,2416,2340,1245,836,1890,.442,236,652,.362,432,633,.682,368,1118,452,192,93,357,654,70.1,107.2,.335,.345,.534,50.4,54.1,8.8,9.3,.505,14.0,31.2,.229
302,303,Tennessee,34,15,19,.441,7.80,7.86,6,12,12,4,1,11,2554,2556,1360,886,2081,.426,248,726,.342,536,776,.691,456,1361,471,204,120,420,690,70.9,106.0,.373,.349,.522,51.3,53.2,8.5,8.9,.485,14.6,34.5,.258
303,304,Texas A&M-Corpus Christi,33,25,8,.758,-3.18,-5.44,15,3,13,1,10,6,2428,2308,1320,753,1805,.417,231,662,.349,571,797,.716,381,1186,408,207,71,525,667,70.3,99.5,.442,.367,.528,50.6,54.2,8.9,5.5,.481,19.4,32.6,.316
304,305,Texas A&M NCAA,37,28,9,.757,18.45,8.45,13,5,17,1,5,5,2828,2458,1500,862,2117,.407,283,848,.334,451,685,.658,396,1296,492,198,131,534,724,68.6,95.6,.324,.401,.503,47.0,57.1,7.7,9.5,.474,17.9,28.7,.213
305,306,UT Arlington,35,24,11,.686,5.02,-3.42,13,7,13,2,10,8,2762,2417,1415,788,1989,.396,277,824,.336,564,851,.663,351,1237,430,240,164,528,693,72.8,93.8,.428,.414,.505,44.7,54.6,9.3,12.5,.466,18.1,25.8,.284
306,307,TCU,33,12,21,.364,4.07,8.62,2,16,9,9,1,10,2209,2359,1320,806,1805,.447,225,647,.348,522,747,.699,349,1204,486,246,151,482,738,70.0,102.2,.414,.358,.546,52.0,60.3,10.7,12.1,.509,18.2,31.6,.289
307,308,UTEP,33,19,14,.576,-3.81,-4.93,10,8,14,4,2,9,2554,2471,1335,853,2013,.424,268,796,.337,497,734,.677,403,1294,482,175,100,470,695,72.8,101.8,.365,.395,.523,51.9,56.5,7.2,7.6,.490,16.6,31.0,.247
308,309,Texas-Rio Grande Valley,30,8,22,.267,-17.88,-4.25,4,10,7,6,1,13,1993,2330,1200,861,1897,.454,207,602,.344,401,586,.684,400,1235,479,191,82,305,507,69.3,112.1,.309,.317,.536,55.2,55.6,9.2,7.6,.508,12.3,34.9,.211
